subject	stream	bias	kappa	number	dv	dv_abs	dv_abs_k1	mapmax_bias	mapmax_kappa
14	single	-0.25384615384615383	0.1353352832366127	1	-1.031088430199664	1.031088430199664	1.2538461538461538	0.15384615384615385	1.4918246976412708
14	single	-0.25384615384615383	0.1353352832366127	2	-1.0005196568536767	1.0005196568536767	1.0038461538461538	0.15384615384615385	1.4918246976412708
14	single	-0.25384615384615383	0.1353352832366127	3	-0.9624806844169144	0.9624806844169144	0.7538461538461538	0.15384615384615385	1.4918246976412708
14	single	-0.25384615384615383	0.1353352832366127	4	-0.9114029048187482	0.9114029048187482	0.5038461538461538	0.15384615384615385	1.4918246976412708
14	single	-0.25384615384615383	0.1353352832366127	5	-0.8306487040236198	0.8306487040236198	0.25384615384615383	0.15384615384615385	1.4918246976412708
14	single	-0.25384615384615383	0.1353352832366127	6	-0.4711605259889175	0.4711605259889175	0.0038461538461538325	0.15384615384615385	1.4918246976412708
14	single	-0.25384615384615383	0.1353352832366127	7	0.8271966678302832	0.8271966678302832	0.24615384615384617	0.15384615384615385	1.4918246976412708
14	single	-0.25384615384615383	0.1353352832366127	8	0.9095072266637197	0.9095072266637197	0.49615384615384617	0.15384615384615385	1.4918246976412708
14	single	-0.25384615384615383	0.1353352832366127	9	0.9611456241518765	0.9611456241518765	0.7461538461538462	0.15384615384615385	1.4918246976412708
14	dual	-0.038461538461538436	7.38905609893065	1	-1.321629441442919	1.321629441442919	1.0384615384615383	0.5	1.9678135965090222
14	dual	-0.038461538461538436	7.38905609893065	2	-0.17270520266309308	0.17270520266309308	0.7884615384615384	0.5	1.9678135965090222
14	dual	-0.038461538461538436	7.38905609893065	3	-0.010315419768262063	0.010315419768262063	0.5384615384615384	0.5	1.9678135965090222
14	dual	-0.038461538461538436	7.38905609893065	4	-0.00010246117183888899	0.00010246117183888899	0.28846153846153844	0.5	1.9678135965090222
14	dual	-0.038461538461538436	7.38905609893065	5	-3.504955862778443e-11	3.504955862778443e-11	0.038461538461538436	0.5	1.9678135965090222
